frequency_rank,characters,pinyin
845,组,zǔ
846,面前,miànqián
847,气,qì
848,其中,qízhōng
849,树叶,shùyè
850,正好,zhènghǎo
851,然而,ránér
852,之间,zhījiān
853,发出,fāchū
854,野兽,yěshòu
855,水面,shuǐmiàn
856,忘,wàng
857,交,jiāo
858,坑,kēng
859,比赛,bǐsài
860,闪,shǎn
861,低,dī
862,挑,tiāo
863,历史,lìshǐ
864,将军,jiāngjūn
865,弄,nòng
866,桶,tǒng
867,悄悄,qiāoqiāo
868,壮,zhuàng
869,她们,tāmen
870,挂,guà
871,瓶子,píngzi
872,电线,diànxiàn
873,有时候,yǒushíhòu
874,钱,qián
875,天文学家,tiānwénxuéjiā
876,仙子,xiānzǐ
877,如,rú
878,力量,lìliàng
879,照顾,zhàogù
880,主意,zhǔyi
881,摔,shuāi
882,清,qīng
883,肚子,dǔzi
884,因此,yīncǐ
885,银,yín
886,周围,zhōuwéi
887,或者,huòzhě
888,除了,chúle
889,幅,fú
890,哎呀,āiyā
891,村,cūn
892,果子,guǒzi
893,鸡蛋,jīdàn
894,丁,dīng
895,糖,táng
896,早,zǎo
897,公公,gōnggong
898,窝,wō
899,木头,mùtou
900,类星体,lèixīngtǐ
901,双,shuāng
902,草丛,cǎocóng
903,绿叶,lǜyè
904,砍,kǎn
905,比较,bǐjiào
906,抬起,táiqǐ
907,认识,rènshi
908,躺,tǎng
909,方向,fāngxiàng
910,结果,jiéguǒ
911,之后,zhīhòu
912,并且,bìngqiě
913,留下,liúxià
914,姑娘,gūniang
915,夜,yè
916,鹿,lù
917,作,zuò
918,神,shén
919,则,zé
920,永远,yǒngyuǎn
921,巨大,jùdà
922,多少,duōshao
923,放学,fàngxué
924,握手,wòshǒu
925,呆,dāi
926,菜,cài
927,射电,shèdiàn
928,丝绸,sīchóu
929,河水,héshuǐ
930,拇指,mǔzhǐ
931,盘子,pánzi
932,榨菜,zhàcài
933,抢,qiǎng
934,眼镜,yǎnjìng
935,牙齿,yáchǐ
936,牙,yá
937,滑,huá
938,刷,shuā
939,刚才,gāngcái
940,电话,diànhuà
941,光年,guāngnián
942,星团,xīngtuán
943,气体,qìtǐ
944,产生,chǎnshēng
945,推,tuī
946,玉米,yùmǐ
947,陪,péi
948,字,zì
949,替,tì
950,渐渐,jiànjiàn
951,好奇,hàoqí
952,可怕,kěpà
953,晚,wǎn
954,呼,hū
955,徒弟,túdi
956,关,guān
957,骑,qí
958,线,xiàn
959,公,gōng
960,人民,rénmín
961,常,cháng
962,梦想,mèngxiǎng
963,醒来,xǐnglái
964,抬头,táitóu
965,椅子,yǐzi
966,点钟,diǎnzhōng
967,都会,dūhuì
968,挤,jǐ
969,青,qīng
970,从此,cóngcǐ
971,身,shēn
972,弯,wān
973,佳,j1ā
974,胡萝卜,húluoóbo
975,吉,jí
976,蜻蜓,qīngtíng
977,乌云,wūyún
978,梨,lí
979,大哥,dàgē
980,绵羊,miányáng
981,织,zhī
982,熔岩,róngyán
983,树枝,shùzhī
984,银子,yínzi
985,怎么样,zěnmeyàng
986,小姐,xiǎojiě
987,发电厂,fādiànchǎng
988,安全,ānquán
989,哈,hā
990,校车,xiàochē
991,火车,huǒchē
992,通过,tōngguò
993,观测,guāncè
994,能量,néngliàng
995,蘑菇,mógu
996,分钟,fēnzhōng
997,色,sè
998,结,jié
999,够,gòu
1000,开口,kāikǒu
1001,用力,yònglì
1002,摇头,yáotóu
1003,粽子,zòngzi
1004,围,wéi
1005,其实,qíshí
1006,走去,zǒuqù
1007,屋子,wūzi
1008,不得了,bùdéliǎo
1009,移动,yídòng
1010,竟,jìng
1011,白天,báitiān
1012,温暖,wēnnuǎn
1013,古,gǔ
1014,更加,gèngjiā
1015,难过,nánguò
1016,脏,zāng
1017,行星,xíngxīng
1018,大熊猫,dàxióngmāo
1019,相片,xiàngpiàn
1020,水缸,shuǐgāng
1021,井,jǐng
1022,小人儿,xiǎoréner
1023,修,xiū
1024,祖国,zǔguó
1025,湖,hú
1026,昆虫,kūnchóng
1027,钓,diào
1028,钓鱼,diàoyú
1029,生病,shēngbìng
1030,冰,bīng
1031,底下,dǐxia
1032,海洋,hǎiyáng
1033,利用,lìyòng
1034,旅行,lǚxíng
1035,危险,wēixiǎn
1036,变化,biànhuà
